date,zone,store_id,demand,event,overload_risk
2026-01-01,Urban,UR-001,1178.34,None,0.858
2026-01-01,Urban,UR-002,1528.97,None,0.983
2026-01-01,Urban,UR-003,1263.36,None,0.934
2026-01-01,Urban,UR-004,1610.56,None,1.0
2026-01-01,Urban,UR-005,2021.27,None,1.0
2026-01-01,Suburban,SU-006,1316.67,None,1.0
2026-01-01,Suburban,SU-007,1199.39,None,1.0
2026-01-01,Suburban,SU-008,951.39,None,0.925
2026-01-01,Suburban,SU-009,1129.23,None,0.994
2026-01-01,Industrial,IN-010,2747.16,None,1.0
2026-01-01,Industrial,IN-011,2276.07,None,1.0
2026-01-01,Industrial,IN-012,2273.23,None,1.0
2026-01-01,Port,PO-013,1380.6,None,1.0
2026-01-01,Port,PO-014,1563.23,None,1.0
2026-01-01,Airport,AI-015,990.27,None,0.931
2026-01-01,Airport,AI-016,1276.62,None,1.0
2026-01-01,North,NO-017,1467.68,None,1.0
2026-01-01,North,NO-018,1429.5,None,1.0
2026-01-01,North,NO-019,1314.69,None,1.0
2026-01-01,South,SO-020,1508.47,None,1.0
2026-01-01,South,SO-021,1165.99,None,0.921
2026-01-01,South,SO-022,1253.56,None,0.97
2026-01-01,Center,CE-023,2377.63,None,1.0
2026-01-01,Center,CE-024,1981.79,None,1.0
2026-01-01,Center,CE-025,1433.56,None,0.976
2026-01-01,Center,CE-026,1701.98,None,0.991
2026-01-02,Urban,UR-001,1683.0,None,1.0
2026-01-02,Urban,UR-002,933.61,None,0.732
2026-01-02,Urban,UR-003,1472.01,None,1.0
2026-01-02,Urban,UR-004,1119.14,None,0.8
2026-01-02,Urban,UR-005,1770.49,None,1.0
2026-01-02,Suburban,SU-006,1008.17,None,0.956
2026-01-02,Suburban,SU-007,1233.9,None,1.0
2026-01-02,Suburban,SU-008,1029.94,None,0.976
2026-01-02,Suburban,SU-009,1227.68,None,1.0
2026-01-02,Industrial,IN-010,2230.09,None,1.0
2026-01-02,Industrial,IN-011,2044.57,None,1.0
2026-01-02,Industrial,IN-012,2759.96,None,1.0
2026-01-02,Port,PO-013,1790.07,None,1.0
2026-01-02,Port,PO-014,1841.39,None,1.0
2026-01-02,Airport,AI-015,1102.46,None,0.993
2026-01-02,Airport,AI-016,1706.48,None,1.0
2026-01-02,North,NO-017,2137.1,None,1.0
2026-01-02,North,NO-018,1608.31,None,1.0
2026-01-02,North,NO-019,993.69,None,0.857
2026-01-02,South,SO-020,1413.17,None,1.0
2026-01-02,South,SO-021,1157.16,None,0.917
2026-01-02,South,SO-022,1268.18,None,0.978
2026-01-02,Center,CE-023,1864.66,None,1.0
2026-01-02,Center,CE-024,1465.8,None,0.874
2026-01-02,Center,CE-025,1084.96,None,0.822
2026-01-02,Center,CE-026,1882.26,None,1.0
2026-01-03,Urban,UR-001,2236.41,None,1.0
2026-01-03,Urban,UR-002,2538.86,None,1.0
2026-01-03,Urban,UR-003,2232.84,None,1.0
2026-01-03,Urban,UR-004,2352.43,None,1.0
2026-01-03,Urban,UR-005,1930.4,None,1.0
2026-01-03,Suburban,SU-006,1366.54,None,1.0
2026-01-03,Suburban,SU-007,1850.68,None,1.0
2026-01-03,Suburban,SU-008,1149.83,None,1.0
2026-01-03,Suburban,SU-009,1685.45,None,1.0
2026-01-03,Industrial,IN-010,2038.99,None,1.0
2026-01-03,Industrial,IN-011,1553.54,None,0.925
2026-01-03,Industrial,IN-012,1467.56,None,0.86
2026-01-03,Port,PO-013,1723.21,None,1.0
2026-01-03,Port,PO-014,1918.09,None,1.0
2026-01-03,Airport,AI-015,909.89,None,0.887
2026-01-03,Airport,AI-016,1344.99,None,1.0
2026-01-03,North,NO-017,1489.39,None,1.0
2026-01-03,North,NO-018,1285.86,None,0.99
2026-01-03,North,NO-019,2110.16,None,1.0
2026-01-03,South,SO-020,1474.69,None,1.0
2026-01-03,South,SO-021,1944.75,None,1.0
2026-01-03,South,SO-022,1782.02,None,1.0
2026-01-03,Center,CE-023,2950.56,None,1.0
2026-01-03,Center,CE-024,2623.61,None,1.0
2026-01-03,Center,CE-025,1734.31,None,1.0
2026-01-03,Center,CE-026,2526.38,None,1.0
2026-01-04,Urban,UR-001,1522.14,None,1.0
2026-01-04,Urban,UR-002,1948.45,None,1.0
2026-01-04,Urban,UR-003,2312.16,None,1.0
2026-01-04,Urban,UR-004,3034.88,None,1.0
2026-01-04,Urban,UR-005,2827.19,None,1.0
2026-01-04,Suburban,SU-006,1338.11,None,1.0
2026-01-04,Suburban,SU-007,1176.17,None,1.0
2026-01-04,Suburban,SU-008,1614.14,None,1.0
2026-01-04,Suburban,SU-009,1489.77,None,1.0
2026-01-04,Industrial,IN-010,1772.83,None,1.0
2026-01-04,Industrial,IN-011,2061.38,None,1.0
2026-01-04,Industrial,IN-012,1854.81,None,0.993
2026-01-04,Port,PO-013,1685.26,None,1.0
2026-01-04,Port,PO-014,1717.67,None,1.0
2026-01-04,Airport,AI-015,1472.75,None,1.0
2026-01-04,Airport,AI-016,1328.67,None,1.0
2026-01-04,North,NO-017,921.37,None,0.823
2026-01-04,North,NO-018,1479.25,None,1.0
2026-01-04,North,NO-019,1061.32,None,0.893
2026-01-04,South,SO-020,1379.23,None,1.0
2026-01-04,South,SO-021,1683.2,None,1.0
2026-01-04,South,SO-022,1144.97,None,0.914
2026-01-04,Center,CE-023,2869.94,None,1.0
2026-01-04,Center,CE-024,3141.91,None,1.0
2026-01-04,Center,CE-025,1920.17,None,1.0
2026-01-04,Center,CE-026,2407.17,None,1.0
2026-01-05,Urban,UR-001,1409.33,None,0.96
2026-01-05,Urban,UR-002,2163.0,None,1.0
2026-01-05,Urban,UR-003,1736.31,None,1.0
2026-01-05,Urban,UR-004,2036.24,None,1.0
2026-01-05,Urban,UR-005,1588.01,None,0.978
2026-01-05,Suburban,SU-006,992.54,None,0.946
2026-01-05,Suburban,SU-007,928.44,None,0.875
2026-01-05,Suburban,SU-008,1269.81,None,1.0
2026-01-05,Suburban,SU-009,1679.33,None,1.0
2026-01-05,Industrial,IN-010,2655.82,None,1.0
2026-01-05,Industrial,IN-011,3223.67,None,1.0
2026-01-05,Industrial,IN-012,2173.56,None,1.0
2026-01-05,Port,PO-013,1425.47,None,1.0
2026-01-05,Port,PO-014,2011.61,None,1.0
2026-01-05,Airport,AI-015,864.55,None,0.862
2026-01-05,Airport,AI-016,1441.01,None,1.0
2026-01-05,North,NO-017,1657.6,None,1.0
2026-01-05,North,NO-018,1786.96,None,1.0
2026-01-05,North,NO-019,1350.21,None,1.0
2026-01-05,South,SO-020,1879.73,None,1.0
2026-01-05,South,SO-021,1340.53,None,1.0
2026-01-05,South,SO-022,1401.45,None,1.0
2026-01-05,Center,CE-023,1056.42,None,0.795
2026-01-05,Center,CE-024,2428.51,None,1.0
2026-01-05,Center,CE-025,1817.61,None,1.0
2026-01-05,Center,CE-026,1889.26,None,1.0
2026-01-06,Urban,UR-001,1396.3,None,0.954
2026-01-06,Urban,UR-002,1781.59,None,1.0
2026-01-06,Urban,UR-003,1252.59,None,0.929
2026-01-06,Urban,UR-004,1616.74,None,1.0
2026-01-06,Urban,UR-005,1926.29,None,1.0
2026-01-06,Suburban,SU-006,1226.75,None,1.0
2026-01-06,Suburban,SU-007,1285.46,None,1.0
2026-01-06,Suburban,SU-008,978.46,None,0.943
2026-01-06,Suburban,SU-009,759.54,None,0.77
2026-01-06,Industrial,IN-010,1863.27,None,1.0
2026-01-06,Industrial,IN-011,2816.49,None,1.0
2026-01-06,Industrial,IN-012,2303.83,None,1.0
2026-01-06,Port,PO-013,1495.18,None,1.0
2026-01-06,Port,PO-014,1776.7,None,1.0
2026-01-06,Airport,AI-015,2171.44,None,1.0
2026-01-06,Airport,AI-016,1737.07,None,1.0
2026-01-06,North,NO-017,1397.58,None,1.0
2026-01-06,North,NO-018,1345.92,None,1.0
2026-01-06,North,NO-019,1096.24,None,0.911
2026-01-06,South,SO-020,1830.14,None,1.0
2026-01-06,South,SO-021,1711.12,None,1.0
2026-01-06,South,SO-022,1603.49,None,1.0
2026-01-06,Center,CE-023,1659.16,None,1.0
2026-01-06,Center,CE-024,1633.62,None,0.935
2026-01-06,Center,CE-025,1915.93,None,1.0
2026-01-06,Center,CE-026,1821.85,None,1.0
2026-01-07,Urban,UR-001,1834.76,None,1.0
2026-01-07,Urban,UR-002,1502.77,None,0.972
2026-01-07,Urban,UR-003,1636.69,None,1.0
2026-01-07,Urban,UR-004,1568.4,None,0.985
2026-01-07,Urban,UR-005,1602.68,None,0.984
2026-01-07,Suburban,SU-006,1165.61,None,1.0
2026-01-07,Suburban,SU-007,899.61,None,0.857
2026-01-07,Suburban,SU-008,853.61,None,0.862
2026-01-07,Suburban,SU-009,1016.62,None,0.925
2026-01-07,Industrial,IN-010,2230.63,None,1.0
2026-01-07,Industrial,IN-011,2612.67,None,1.0
2026-01-07,Industrial,IN-012,2435.88,None,1.0
2026-01-07,Port,PO-013,1492.23,None,1.0
2026-01-07,Port,PO-014,1463.69,None,1.0
2026-01-07,Airport,AI-015,1411.77,None,1.0
2026-01-07,Airport,AI-016,1234.82,None,0.983
2026-01-07,North,NO-017,1306.39,None,1.0
2026-01-07,North,NO-018,1515.43,None,1.0
2026-01-07,North,NO-019,1410.79,None,1.0
2026-01-07,South,SO-020,1353.42,None,1.0
2026-01-07,South,SO-021,1412.49,None,1.0
2026-01-07,South,SO-022,1530.0,None,1.0
2026-01-07,Center,CE-023,2352.82,None,1.0
2026-01-07,Center,CE-024,1687.11,None,0.955
2026-01-07,Center,CE-025,2298.68,None,1.0
2026-01-07,Center,CE-026,1593.41,None,0.949
2026-01-08,Urban,UR-001,611.26,None,0.609
2026-01-08,Urban,UR-002,1518.6,None,0.978
2026-01-08,Urban,UR-003,1681.14,None,1.0
2026-01-08,Urban,UR-004,2412.73,None,1.0
2026-01-08,Urban,UR-005,1435.25,None,0.917
2026-01-08,Suburban,SU-006,1215.46,None,1.0
2026-01-08,Suburban,SU-007,925.65,None,0.873
2026-01-08,Suburban,SU-008,1449.69,None,1.0
